PhraseId,Sentiment
156061,1
156062,1
156063,2
156064,1
156065,1
156066,1
156067,1
156068,1
156069,2
156070,2
156071,1
156072,1
156073,1
156074,2
156075,2
156076,3
156077,2
156078,2
156079,2
156080,1
156081,2
156082,1
156083,3
156084,2
156085,2
156086,2
156087,2
156088,2
156089,3
156090,2
156091,3
156092,3
156093,3
156094,3
156095,2
156096,3
156097,2
156098,2
156099,3
156100,2
156101,2
156102,2
156103,2
156104,2
156105,2
156106,2
156107,2
156108,2
156109,2
156110,2
156111,2
156112,2
156113,2
156114,2
156115,2
156116,2
156117,2
156118,2
156119,2
156120,2
156121,2
156122,2
156123,2
156124,2
156125,2
156126,2
156127,2
156128,2
156129,2
156130,2
156131,2
156132,2
156133,3
156134,3
156135,1
156136,2
156137,2
156138,2
156139,2
156140,2
156141,2
156142,2
156143,3
156144,3
156145,2
156146,2
156147,2
156148,2
156149,2
156150,2
156151,2
156152,2
156153,2
156154,0
156155,2
156156,1
156157,2
156158,2
156159,2
156160,2
156161,2
156162,2
156163,3
156164,2
156165,3
156166,0
156167,2
156168,0
156169,1
156170,1
156171,0
156172,0
156173,1
156174,1
156175,1
156176,1
156177,1
156178,3
156179,2
156180,3
156181,3
156182,2
156183,2
156184,2
156185,3
156186,2
156187,2
156188,2
156189,2
156190,2
156191,1
156192,1
156193,1
156194,2
156195,2
156196,2
156197,2
156198,2
156199,1
156200,2
156201,2
156202,2
156203,2
156204,2
156205,2
156206,4
156207,2
156208,2
156209,2
156210,2
156211,2
156212,2
156213,2
156214,2
156215,1
156216,2
156217,2
156218,2
156219,0
156220,2
156221,1
156222,1
156223,2
156224,2
156225,2
156226,2
156227,2
156228,2
156229,1
156230,2
156231,1
156232,2
156233,1
156234,2
156235,1
156236,2
156237,1
156238,1
156239,1
156240,2
156241,3
156242,3
156243,1
156244,1
156245,2
156246,2
156247,2
156248,2
156249,2
156250,1
156251,1
156252,2
156253,2
156254,2
156255,2
156256,2
156257,2
156258,2
156259,3
156260,2
156261,2
156262,1
156263,2
156264,2
156265,1
156266,3
156267,2
156268,2
156269,1
156270,2
156271,1
156272,3
156273,2
156274,3
156275,3
156276,4
156277,4
156278,2
156279,2
156280,2
156281,3
156282,3
156283,3
156284,2
156285,2
156286,4
156287,3
156288,3
156289,3
156290,2
156291,2
156292,2
156293,2
156294,2
156295,1
156296,3
156297,2
156298,3
156299,2
156300,3
156301,3
156302,3
156303,3
156304,1
156305,1
156306,2
156307,1
156308,2
156309,3
156310,2
156311,3
156312,2
156313,2
156314,3
156315,3
156316,1
156317,1
156318,2
156319,1
156320,1
156321,1
156322,1
156323,1
156324,1
156325,1
156326,2
156327,2
156328,1
156329,1
156330,1
156331,1
156332,1
156333,1
156334,1
156335,1
156336,1
156337,2
156338,2
156339,1
156340,2
156341,1
156342,1
156343,1
156344,1
156345,2
156346,1
156347,2
156348,2
156349,2
156350,1
156351,3
156352,3
156353,3
156354,2
156355,3
156356,3
156357,3
156358,3
156359,2
156360,3
156361,2
156362,3
156363,2
156364,2
156365,2
156366,2
156367,2
156368,2
156369,3
156370,3
156371,2
156372,2
156373,2
156374,2
156375,3
156376,2
156377,3
156378,3
156379,2
156380,2
156381,2
156382,2
156383,2
156384,2
156385,2
156386,2
156387,2
156388,2
156389,3
156390,2
156391,1
156392,2
156393,1
156394,1
156395,1
156396,3
156397,2
156398,1
